No,警編,分局,所別,里別,名稱
1,KC100G0050,三民一分局,十全所,達仁里,松江街55號前
2,KC100G0051,三民一分局,十全所,達仁里,九如二路、松江街口
3,KC100G0052,三民一分局,十全所,達仁里,九如二路326號前
4,KC100G0053,三民一分局,十全所,達仁里,九如二路326號前
5,KC100G0054,三民一分局,十全所,達仁里,九如二路、博愛一路口
6,KC100G0055,三民一分局,十全所,達仁里,大連街68號前
7,KC100G0056,三民一分局,十全所,達仁里,松江街、遼寧一街口
8,KC100G0057,三民一分局,十全所,達仁里,松江街、遼寧一街口
9,KC100G0058,三民一分局,十全所,達仁里,遼寧一街、大連街口(大連街96號前)
10,KC100G0059,三民一分局,十全所,達仁里,遼寧一街、大連街口(遼寧一街399號旁)
11,KC100G0060,三民一分局,十全所,達仁里,遼寧一街、吉林街口(吉林街95號旁)
12,KC100G0061,三民一分局,十全所,達仁里,瀋陽街、遼寧一街口(瀋陽街83號旁)
13,KC100G0062,三民一分局,十全所,達仁里,瀋陽街79號前
14,KC100G0063,三民一分局,十全所,達仁里,撫順街、瀋陽街口(瀋陽街57號前)
15,KC100G0064,三民一分局,十全所,達仁里,九如二路206號前
16,KC100G0065,三民一分局,十全所,達仁里,九如二路、吉林街口(九如二路232號前)
17,KC100G0066,三民一分局,十全所,達勇里,安寧街422巷、安寧街口
18,KC100G0067,三民一分局,十全所,達勇里,安寧街、大連街口
19,KC100G0068,三民一分局,十全所,達勇里,恆豐街、大連街口
20,KC100G0069,三民一分局,十全所,達勇里,恆豐街、大連街口(恆豐街171號前)
21,KC100G0070,三民一分局,十全所,達勇里,安寧街311巷2弄15號前
22,KC100G0071,三民一分局,十全所,達勇里,九如二路、吉林街口
23,KC100G0072,三民一分局,十全所,達勇里,大連、安寧街口
24,KC100G0073,三民一分局,十全所,達勇里,大連、安寧街口
25,KC100G0074,三民一分局,十全所,達勇里,大連街1號前
26,KC100G0075,三民一分局,十全所,達勇里,安寧街356號前
27,KC100G0076,三民一分局,十全所,達勇里,九如、松江路口
28,KC100G0077,三民一分局,十全所,達勇里,九如、大連街口
29,KC100G0078,三民一分局,十全所,達勇里,九如、吉林街口(高照星皮膚科診所旁)
30,KC100G0079,三民一分局,十全所,達勇里,瀋陽街13號前
31,KC100G0080,三民一分局,十全所,達勇里,九如、瀋陽街口
32,KC100G0081,三民一分局,十全所,達勇里,松江街、安寧街口
33,KC100G0082,三民一分局,十全所,同德里,山東街126巷
34,KC100G0083,三民一分局,十全所,同德里,泰安街、山東街口(面對安生教會右側)
35,KC100G0084,三民一分局,十全所,同德里,泰安街、孝順街口
36,KC100G0085,三民一分局,十全所,同德里,民族一路87巷口(孝順街70號前)
37,KC100G0086,三民一分局,十全所,同德里,承德街62號前
38,KC100G0087,三民一分局,十全所,同德里,孝順街61號前
39,KC100G0088,三民一分局,十全所,同德里,孝順街47巷口
40,KC100G0089,三民一分局,十全所,同德里,孝順街26號前
41,KC100G0090,三民一分局,十全所,同德里,遼寧一街22號前
42,KC100G0091,三民一分局,十全所,同德里,民族一路53號旁(民族路、九如路口)
43,KC100G0092,三民一分局,十全所,同德里,民族一路39巷旁
44,KC100G0093,三民一分局,十全所,同德里,民族一路19巷口
45,KC100G0094,三民一分局,十全所,同德里,九如二路13巷、九如二路口
46,KC100G0095,三民一分局,十全所,同德里,孝順街5巷、山東街口
47,KC100G0096,三民一分局,十全所,同德里,孝順街23巷與孝順街
48,KC100G0097,三民一分局,十全所,同德里,孝順街、旅順街口(孝順街8號前)
49,KC100G0098,三民一分局,十全所,同德里,三民區遼寧一街、山東街口(山東街51號旁)
50,KC100G0099,三民一分局,十全所,同德里,山東街52號旁
51,KC100G0100,三民一分局,十全所,同德里,山東街39號旁
52,KC100G0101,三民一分局,十全所,同德里,九如二路13巷、九如二路口(九如二路85號旁)
53,KC100G0102,三民一分局,十全所,同德里,山東街、承德街口(中油加油站前)
54,KC100G0103,三民一分局,十全所,同德里,山東街、孝順街73巷口(山東街100號旁)
55,KC100G0104,三民一分局,十全所,同德里,山東街、熱河一街口(山東街110號旁)
56,KC100G0105,三民一分局,十全所,同德里,山東街、熱河一街口(山東街112號旁)
57,KC100G0106,三民一分局,十全所,同德里,孝順街125巷、山東街口(面對安生教會左側路口)
58,KC100G0107,三民一分局,十全所,同德里,熱河一街、孝順街口
59,KC100G0108,三民一分局,十全所,同德里,熱河一街、孝順街口(孝順街85號旁)
60,KC100G0109,三民一分局,十全所,同德里,承德街、孝順街口(孝順街54號旁)
61,KC100G0110,三民一分局,十全所,同德里,承德街、孝順街口(孝順街61號旁)
62,KC100G0111,三民一分局,十全所,同德里,孝順街73巷、孝順街口
63,KC100G0112,三民一分局,十全所,同德里,民族一路87巷、民族一路口
64,KC100G0113,三民一分局,十全所,同德里,孝順街5巷、孝順街口(孝順街5號旁)
65,KC101A0961,三民一分局,十全所,達仁里,九如路、松江街 / 向北
66,KC101A0962,三民一分局,十全所,達仁里,遼寧街、松江街 / 向南
67,KC101A0963,三民一分局,十全所,達仁里,九如路、大連街 / 向北
68,KC101A0964,三民一分局,十全所,達仁里,遼寧街、大連街 / 向南
69,KC101A0965,三民一分局,十全所,達仁里,九如路、吉林街 / 向北
70,KC101A0966,三民一分局,十全所,達仁里,遼寧街、吉林街 / 向南
71,KC101A0967,三民一分局,十全所,達仁里,松江街33巷11號 / 向北
72,KC101A0968,三民一分局,十全所,達仁里,九如二路318號前 / 向西
73,KC101A0969,三民一分局,十全所,達仁里,松江街、撫順街   / 向東
74,KC101A0970,三民一分局,十全所,達仁里,大連街79巷、松江街 / 向東
75,KC101A0971,三民一分局,十全所,達仁里,吉林街57巷、大連街 / 向東
76,KC101A0972,三民一分局,十全所,達仁里,大連街68號前 / 向北
77,KC101A0973,三民一分局,十全所,達仁里,吉林街83巷、大連街     / 向東
78,KC101A0974,三民一分局,十全所,達仁里,瀋陽街45巷口、瀋陽街 / 向西
79,KC101A0975,三民一分局,十全所,達仁里,博愛一路10號前 / 向北
80,KC101A0976,三民一分局,十全所,達仁里,瀋陽街57號前     / 向南
81,KC101A0977,三民一分局,十全所,達勇里,九如二路、松江街口 / 向東
82,KC101A0978,三民一分局,十全所,達勇里,松江街、安寧街口(照安寧街) / 向東
83,KC101A0979,三民一分局,十全所,達勇里,安寧街(照恆豐街)      / 向南
84,KC101A0980,三民一分局,十全所,達勇里,九如二路、大連街口 / 向南
85,KC101A0981,三民一分局,十全所,達勇里,大連街、大連街9巷口   / 向西
86,KC101A0982,三民一分局,十全所,達勇里,大連街、吉林街35巷口 / 向東
87,KC101A0983,三民一分局,十全所,達勇里,恆豐街、大連街口 / 向北
88,KC101A0984,三民一分局,十全所,達勇里,九如二路、吉林街 / 向南
89,KC101A0985,三民一分局,十全所,達勇里,吉林街、安寧街口 / 向西
90,KC101A0986,三民一分局,十全所,達勇里,吉林街、安寧街口 / 向西
91,KC101A0987,三民一分局,十全所,達勇里,恆豐街、吉林街口 / 向北
92,KC101A0988,三民一分局,十全所,達勇里,九如二路、瀋陽街口 / 向南
93,KC101A0989,三民一分局,十全所,達勇里,瀋陽街35巷 / 向西
94,KC101A0990,三民一分局,十全所,達勇里,瀋陽街、安寧街口 / 向西
95,KC101A0991,三民一分局,十全所,達勇里,安寧街311巷口 / 向南
96,KC101A0992,三民一分局,十全所,達勇里,瀋陽街、龍江街口 / 向北
97,KC101A0993,三民一分局,十全所,德仁里,龍江街47巷、龍江街口 / 向西
98,KC101A0994,三民一分局,十全所,德仁里,龍江街15巷口 / 向東
